client_id,produit,revenus_annuels,cout_gestion_annuel,profit_annuel
CLI_0017,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0017,Carte Bancaire Premium,120.0,20.0,100.0
CLI_0017,Compte Épargne,91.16,30.38,60.78
CLI_0017,Assurance Vie,220.19,117.44,102.75
CLI_0017,Assurance Habitation,251.15,72.27,178.88
CLI_0018,Compte Courant,56.21,19.62,36.59
CLI_0018,Carte Bancaire Premium,120.0,20.0,100.0
CLI_0018,Assurance Vie,212.72,72.75,139.97
CLI_0018,Assurance Habitation,268.91,71.22,197.69
CLI_0019,Compte Courant,55.81,20.42,35.39
CLI_0019,Compte Épargne,118.96,29.39,89.58
CLI_0020,Compte Courant,43.19,19.46,23.73
CLI_0020,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0020,Carte Bancaire Premium,120.0,20.0,100.0
CLI_0020,Assurance Vie,446.55,103.86,342.69
CLI_0020,Assurance Habitation,212.61,94.55,118.06
CLI_0020,Assurance Auto,333.23,68.85,264.38
CLI_0021,Compte Courant,32.9,15.13,17.76
CLI_0021,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0021,Compte Épargne,92.29,23.75,68.53
CLI_0021,Livret A,21.3,5.0,16.3
CLI_0021,Crédit Immobilier,3320.07,503.99,2816.07
CLI_0021,Assurance Auto,234.3,87.66,146.65
CLI_0022,Compte Courant,52.31,24.86,27.45
CLI_0022,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0022,Carte Bancaire Premium,120.0,20.0,100.0
CLI_0022,Compte Épargne,116.72,24.9,91.82
CLI_0022,Assurance Habitation,329.14,79.9,249.24
CLI_0022,Assurance Auto,284.72,111.07,173.65
CLI_0023,Compte Courant,42.82,24.62,18.2
CLI_0023,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0023,Compte Épargne,122.29,32.89,89.4
CLI_0023,Livret A,63.7,5.0,58.7
CLI_0023,Assurance Vie,486.86,100.52,386.34
CLI_0024,Compte Courant,55.54,21.81,33.73
CLI_0024,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0024,Compte Épargne,139.72,37.82,101.91
CLI_0024,Assurance Vie,785.89,120.02,665.87
CLI_0025,Compte Courant,45.07,16.66,28.41
CLI_0025,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0025,Livret A,62.32,5.0,57.32
CLI_0026,Compte Courant,38.75,17.83,20.92
CLI_0026,Assurance Habitation,209.57,93.76,115.82
CLI_0026,Assurance Auto,547.19,97.86,449.33
CLI_0027,Compte Courant,44.19,21.72,22.47
CLI_0027,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0027,Livret A,56.43,5.0,51.43
CLI_0027,Assurance Vie,449.44,87.96,361.48
CLI_0027,Crédit Consommation,644.51,150.7,493.82
CLI_0027,Assurance Habitation,311.92,72.59,239.33
CLI_0028,Compte Courant,59.06,15.84,43.22
CLI_0028,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0028,Crédit Consommation,612.34,130.29,482.05
CLI_0028,Assurance Habitation,154.23,68.25,85.98
CLI_0028,Assurance Auto,309.48,90.36,219.12
CLI_0029,Compte Courant,40.09,22.26,17.83
CLI_0029,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0029,Compte Épargne,100.99,22.6,78.4
CLI_0029,Livret A,65.0,5.0,60.0
CLI_0029,Assurance Vie,259.54,133.9,125.63
CLI_0029,Assurance Auto,572.57,79.35,493.22
CLI_0030,Compte Courant,57.78,22.93,34.85
CLI_0030,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0030,Compte Épargne,142.24,33.33,108.92
CLI_0030,Livret A,34.14,5.0,29.14
CLI_0030,Assurance Vie,736.71,68.43,668.29
CLI_0031,Compte Courant,36.39,17.71,18.68
CLI_0031,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0031,Livret A,38.25,5.0,33.25
CLI_0032,Compte Courant,45.43,22.13,23.3
CLI_0032,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0032,Carte Bancaire Premium,120.0,20.0,100.0
CLI_0032,Compte Épargne,142.62,21.77,120.85
CLI_0032,Assurance Vie,772.62,142.13,630.49
CLI_0032,Assurance Habitation,163.5,68.02,95.48
CLI_0032,Assurance Auto,525.26,96.69,428.56
CLI_0033,Compte Courant,53.37,22.19,31.18
CLI_0033,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0033,Compte Épargne,99.68,20.82,78.85
CLI_0033,Livret A,55.06,5.0,50.06
CLI_0033,Assurance Habitation,162.14,80.19,81.96
CLI_0034,Compte Courant,54.01,20.85,33.16
CLI_0034,Compte Épargne,149.7,29.12,120.58
CLI_0034,Livret A,64.93,5.0,59.93
CLI_0034,Assurance Auto,466.89,119.49,347.4
CLI_0035,Compte Courant,51.4,16.64,34.76
CLI_0035,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0035,Compte Épargne,145.55,33.36,112.2
CLI_0035,Crédit Immobilier,1707.68,497.27,1210.41
CLI_0035,Assurance Habitation,370.78,78.85,291.93
CLI_0036,Compte Courant,40.62,23.21,17.41
CLI_0036,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0036,Compte Épargne,128.25,30.88,97.37
CLI_0036,Assurance Auto,261.74,75.06,186.69
CLI_0037,Compte Courant,52.15,23.06,29.09
CLI_0037,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0037,Assurance Auto,311.71,82.08,229.63
CLI_0038,Compte Courant,32.33,22.13,10.19
CLI_0038,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0038,Carte Bancaire Premium,120.0,20.0,100.0
CLI_0038,Compte Épargne,50.36,20.93,29.43
CLI_0038,Livret A,20.26,5.0,15.26
CLI_0038,Assurance Vie,587.19,91.74,495.45
CLI_0038,Assurance Habitation,224.39,95.64,128.75
CLI_0039,Compte Courant,35.78,18.89,16.89
CLI_0039,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0039,Compte Épargne,144.03,28.54,115.49
CLI_0039,Crédit Immobilier,3441.43,324.1,3117.33
CLI_0039,Assurance Auto,516.07,85.37,430.7
CLI_0040,Compte Courant,54.02,17.54,36.48
CLI_0040,Livret A,45.35,5.0,40.35
CLI_0040,Assurance Vie,671.93,147.39,524.54
CLI_0040,Crédit Consommation,353.66,177.49,176.17
CLI_0040,Assurance Auto,320.28,93.04,227.23
CLI_0041,Compte Courant,38.7,21.13,17.57
CLI_0041,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0041,Compte Épargne,85.38,26.67,58.71
CLI_0041,Livret A,22.28,5.0,17.28
CLI_0041,Crédit Immobilier,2014.36,575.12,1439.24
CLI_0041,Assurance Auto,599.31,106.83,492.48
CLI_0042,Compte Courant,38.6,19.02,19.58
CLI_0042,Compte Épargne,123.95,39.37,84.58
CLI_0042,Livret A,47.33,5.0,42.33
CLI_0043,Compte Courant,54.89,24.75,30.13
CLI_0043,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0043,Carte Bancaire Premium,120.0,20.0,100.0
CLI_0043,Livret A,72.41,5.0,67.41
CLI_0043,Assurance Auto,290.86,60.48,230.38
CLI_0044,Compte Courant,44.76,20.31,24.45
CLI_0044,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0044,Livret A,32.08,5.0,27.08
CLI_0044,Assurance Vie,370.8,126.52,244.29
CLI_0044,Crédit Consommation,723.31,118.08,605.23
CLI_0045,Compte Courant,48.68,21.53,27.15
CLI_0045,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0045,Compte Épargne,126.94,23.13,103.81
CLI_0045,Livret A,64.49,5.0,59.49
CLI_0046,Compte Courant,47.98,15.58,32.41
CLI_0046,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0046,Carte Bancaire Premium,120.0,20.0,100.0
CLI_0046,Compte Épargne,127.74,27.66,100.08
CLI_0046,Crédit Consommation,597.34,133.77,463.57
CLI_0047,Compte Courant,40.39,18.38,22.0
CLI_0047,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0047,Compte Épargne,130.81,22.49,108.32
CLI_0047,Assurance Habitation,392.65,77.75,314.9
CLI_0048,Compte Courant,35.49,16.31,19.18
CLI_0048,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0048,Assurance Vie,554.91,113.3,441.61
CLI_0048,Crédit Immobilier,1685.59,372.9,1312.69
CLI_0048,Assurance Habitation,348.87,52.48,296.38
CLI_0049,Compte Courant,55.65,21.58,34.07
CLI_0049,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0049,Compte Épargne,93.44,26.93,66.51
CLI_0049,Livret A,21.15,5.0,16.15
CLI_0049,Crédit Consommation,1042.69,97.13,945.57
CLI_0049,Assurance Habitation,227.39,78.46,148.93
CLI_0049,Assurance Auto,298.4,89.83,208.57
CLI_0050,Compte Courant,54.28,19.71,34.57
CLI_0050,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0050,Compte Épargne,144.9,36.95,107.95
CLI_0050,Crédit Immobilier,2665.64,419.99,2245.65
CLI_0050,Assurance Habitation,255.83,81.31,174.52
CLI_0051,Compte Courant,38.6,24.69,13.91
CLI_0051,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0051,Compte Épargne,110.87,27.99,82.88
CLI_0051,Assurance Auto,458.0,83.72,374.28
CLI_0052,Compte Courant,54.53,20.68,33.86
CLI_0052,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0052,Carte Bancaire Premium,120.0,20.0,100.0
CLI_0053,Compte Courant,31.26,16.77,14.49
CLI_0053,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0053,Assurance Vie,719.0,106.29,612.71
CLI_0053,Assurance Habitation,387.59,53.62,333.96
CLI_0053,Assurance Auto,318.1,71.61,246.49
CLI_0054,Compte Courant,46.62,18.83,27.79
CLI_0054,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0054,Livret A,29.44,5.0,24.44
CLI_0054,Assurance Auto,457.1,92.18,364.92
CLI_0055,Compte Courant,38.24,19.8,18.44
CLI_0055,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0055,Livret A,64.74,5.0,59.74
CLI_0055,Assurance Auto,282.11,77.57,204.53
CLI_0056,Compte Courant,40.38,22.47,17.92
CLI_0056,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0056,Compte Épargne,134.69,27.53,107.16
CLI_0056,Assurance Vie,377.97,138.94,239.03
CLI_0056,Assurance Auto,599.75,100.22,499.52
CLI_0057,Compte Courant,59.7,21.6,38.1
CLI_0057,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0057,Carte Bancaire Premium,120.0,20.0,100.0
CLI_0057,Livret A,64.01,5.0,59.01
CLI_0058,Compte Courant,41.66,19.33,22.33
CLI_0058,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0058,Compte Épargne,64.41,36.46,27.96
CLI_0058,Assurance Vie,758.64,112.34,646.29
CLI_0059,Compte Courant,40.31,16.54,23.77
CLI_0059,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0059,Livret A,35.91,5.0,30.91
CLI_0059,Assurance Vie,353.25,111.35,241.89
CLI_0059,Crédit Immobilier,4807.63,314.48,4493.15
CLI_0059,Assurance Habitation,150.26,80.01,70.25
CLI_0060,Compte Courant,38.52,23.81,14.72
CLI_0060,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0060,Carte Bancaire Premium,120.0,20.0,100.0
CLI_0060,Compte Épargne,82.73,25.79,56.93
CLI_0060,Assurance Auto,307.8,68.69,239.11
CLI_0061,Compte Courant,47.45,16.68,30.76
CLI_0061,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0061,Compte Épargne,92.46,29.22,63.24
CLI_0061,Crédit Consommation,318.44,82.02,236.43
CLI_0062,Compte Courant,45.61,21.96,23.65
CLI_0062,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0062,Livret A,76.53,5.0,71.53
CLI_0062,Assurance Auto,271.65,66.2,205.45
CLI_0063,Compte Courant,31.56,19.36,12.2
CLI_0063,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0063,Livret A,57.39,5.0,52.39
CLI_0063,Assurance Habitation,360.14,84.13,276.01
CLI_0063,Assurance Auto,283.34,87.71,195.64
CLI_0064,Compte Courant,57.31,18.27,39.04
CLI_0064,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0064,Compte Épargne,99.87,39.17,60.7
CLI_0064,Assurance Habitation,333.68,87.39,246.29
CLI_0064,Assurance Auto,300.93,84.88,216.05
CLI_0065,Compte Courant,32.47,21.07,11.41
CLI_0065,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0065,Compte Épargne,60.37,36.72,23.65
CLI_0065,Crédit Consommation,1033.1,144.03,889.07
CLI_0065,Assurance Habitation,185.29,51.28,134.01
CLI_0065,Assurance Auto,518.68,96.01,422.68
CLI_0066,Compte Courant,51.33,18.04,33.29
CLI_0066,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0066,Assurance Habitation,277.37,87.36,190.01
CLI_0066,Assurance Auto,385.03,96.08,288.94
CLI_0067,Compte Courant,53.69,17.15,36.54
CLI_0067,Compte Épargne,56.59,30.64,25.96
CLI_0067,Assurance Habitation,165.53,88.33,77.2
CLI_0067,Assurance Auto,487.68,112.9,374.78
CLI_0068,Compte Courant,49.19,15.67,33.51
CLI_0068,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0068,Compte Épargne,75.32,36.16,39.16
CLI_0068,Livret A,30.03,5.0,25.03
CLI_0068,Assurance Vie,619.09,128.03,491.06
CLI_0068,Assurance Auto,332.04,79.34,252.71
CLI_0069,Compte Courant,46.73,23.61,23.12
CLI_0069,Livret A,33.43,5.0,28.43
CLI_0069,Assurance Auto,576.5,95.95,480.56
CLI_0070,Compte Courant,59.76,15.9,43.87
CLI_0070,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0070,Carte Bancaire Premium,120.0,20.0,100.0
CLI_0070,Assurance Auto,250.62,109.6,141.03
CLI_0071,Compte Courant,55.94,19.45,36.49
CLI_0071,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0071,Compte Épargne,121.41,37.35,84.06
CLI_0071,Crédit Immobilier,1650.95,472.19,1178.76
CLI_0071,Assurance Auto,541.39,83.89,457.5
CLI_0072,Compte Courant,39.07,22.96,16.11
CLI_0072,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0072,Compte Épargne,83.58,20.06,63.52
CLI_0072,Crédit Consommation,1163.62,151.05,1012.56
CLI_0072,Assurance Auto,527.81,109.52,418.29
CLI_0073,Compte Courant,31.99,16.71,15.28
CLI_0073,Livret A,38.67,5.0,33.67
CLI_0073,Crédit Immobilier,2622.45,497.64,2124.81
CLI_0073,Assurance Habitation,305.78,74.73,231.05
CLI_0073,Assurance Auto,284.51,82.92,201.59
CLI_0074,Compte Courant,46.31,19.68,26.63
CLI_0074,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0074,Compte Épargne,62.73,32.99,29.74
CLI_0074,Livret A,24.38,5.0,19.38
CLI_0074,Crédit Immobilier,2823.68,513.01,2310.67
CLI_0075,Compte Courant,30.6,20.7,9.9
CLI_0075,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0075,Compte Épargne,83.45,20.18,63.28
CLI_0075,Assurance Habitation,197.6,97.05,100.55
CLI_0076,Compte Courant,45.63,24.97,20.66
CLI_0076,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0076,Compte Épargne,102.48,30.88,71.6
CLI_0076,Assurance Habitation,247.96,65.5,182.46
CLI_0076,Assurance Auto,300.62,80.61,220.01
CLI_0077,Compte Courant,43.8,16.92,26.88
CLI_0077,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0077,Carte Bancaire Premium,120.0,20.0,100.0
CLI_0077,Compte Épargne,72.49,25.43,47.06
CLI_0077,Assurance Vie,469.56,115.28,354.27
CLI_0077,Crédit Immobilier,4496.51,386.14,4110.37
CLI_0078,Compte Courant,35.51,18.79,16.72
CLI_0078,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0078,Compte Épargne,139.44,20.2,119.24
CLI_0078,Livret A,60.67,5.0,55.67
CLI_0078,Assurance Habitation,269.29,58.05,211.24
CLI_0079,Compte Courant,39.63,17.25,22.38
CLI_0079,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0079,Compte Épargne,137.78,29.64,108.15
CLI_0079,Livret A,53.79,5.0,48.79
CLI_0079,Assurance Vie,556.21,113.96,442.25
CLI_0079,Assurance Auto,398.22,61.07,337.15
CLI_0080,Compte Courant,40.04,16.84,23.2
CLI_0080,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0080,Livret A,60.81,5.0,55.81
CLI_0080,Assurance Vie,234.02,106.38,127.64
CLI_0080,Assurance Habitation,202.66,97.44,105.22
CLI_0081,Compte Courant,40.07,18.25,21.81
CLI_0081,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0081,Compte Épargne,142.34,28.35,113.99
CLI_0081,Assurance Vie,777.72,52.42,725.3
CLI_0081,Crédit Consommation,575.71,159.94,415.77
CLI_0082,Compte Courant,56.73,17.56,39.16
CLI_0082,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0082,Carte Bancaire Premium,120.0,20.0,100.0
CLI_0082,Compte Épargne,143.05,31.88,111.17
CLI_0082,Assurance Vie,680.6,89.72,590.88
CLI_0082,Crédit Immobilier,2242.63,573.37,1669.26
CLI_0083,Compte Courant,57.99,19.98,38.02
CLI_0083,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0083,Carte Bancaire Premium,120.0,20.0,100.0
CLI_0083,Compte Épargne,50.65,22.2,28.45
CLI_0083,Livret A,54.38,5.0,49.38
CLI_0083,Assurance Vie,214.27,89.69,124.57
CLI_0083,Assurance Auto,321.35,102.86,218.49
CLI_0084,Compte Courant,31.67,19.89,11.78
CLI_0084,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0084,Compte Épargne,107.91,32.35,75.57
CLI_0084,Livret A,44.31,5.0,39.31
CLI_0085,Compte Courant,39.13,21.82,17.31
CLI_0085,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0085,Compte Épargne,134.76,33.87,100.88
CLI_0085,Livret A,75.93,5.0,70.93
CLI_0085,Assurance Habitation,329.32,88.23,241.08
CLI_0085,Assurance Auto,267.16,85.17,181.99
CLI_0086,Compte Courant,44.55,17.56,26.99
CLI_0086,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0086,Carte Bancaire Premium,120.0,20.0,100.0
CLI_0086,Compte Épargne,102.85,25.82,77.04
CLI_0086,Livret A,61.25,5.0,56.25
CLI_0086,Assurance Vie,482.17,95.88,386.29
CLI_0086,Crédit Consommation,1185.28,127.09,1058.18
CLI_0087,Compte Courant,40.87,18.19,22.68
CLI_0087,Compte Épargne,139.47,29.93,109.54
CLI_0087,Livret A,56.0,5.0,51.0
CLI_0087,Assurance Vie,308.49,104.09,204.4
CLI_0088,Compte Courant,38.24,22.31,15.93
CLI_0088,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0088,Compte Épargne,133.25,34.3,98.96
CLI_0088,Livret A,63.81,5.0,58.81
CLI_0088,Crédit Immobilier,3293.66,513.64,2780.03
CLI_0088,Assurance Auto,369.07,99.09,269.99
CLI_0089,Compte Courant,37.77,15.7,22.07
CLI_0089,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0089,Carte Bancaire Premium,120.0,20.0,100.0
CLI_0089,Compte Épargne,91.35,29.24,62.11
CLI_0090,Compte Courant,37.69,22.28,15.42
CLI_0090,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0090,Compte Épargne,57.36,24.45,32.9
CLI_0090,Crédit Consommation,973.71,132.45,841.25
CLI_0090,Assurance Auto,482.11,94.05,388.06
CLI_0091,Compte Courant,58.52,20.98,37.54
CLI_0091,Livret A,20.89,5.0,15.89
CLI_0092,Compte Courant,40.59,16.43,24.16
CLI_0092,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0092,Compte Épargne,142.46,22.08,120.38
CLI_0092,Livret A,43.26,5.0,38.26
CLI_0093,Compte Courant,36.78,23.47,13.32
CLI_0093,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0093,Compte Épargne,80.86,39.84,41.02
CLI_0093,Assurance Vie,223.17,62.83,160.34
CLI_0093,Assurance Auto,289.86,108.67,181.19
CLI_0094,Compte Courant,56.36,15.71,40.64
CLI_0094,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0094,Carte Bancaire Premium,120.0,20.0,100.0
CLI_0094,Compte Épargne,53.25,34.89,18.35
CLI_0094,Livret A,28.0,5.0,23.0
CLI_0094,Assurance Habitation,183.25,51.12,132.13
CLI_0094,Assurance Auto,219.92,75.82,144.1
CLI_0095,Compte Courant,31.95,18.69,13.26
CLI_0095,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0095,Carte Bancaire Premium,120.0,20.0,100.0
CLI_0095,Compte Épargne,133.28,26.53,106.75
CLI_0095,Assurance Vie,636.7,59.39,577.31
CLI_0095,Assurance Auto,463.75,79.0,384.75
CLI_0096,Compte Courant,52.49,16.36,36.13
CLI_0096,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0096,Carte Bancaire Premium,120.0,20.0,100.0
CLI_0096,Crédit Immobilier,4642.59,372.77,4269.82
CLI_0096,Crédit Consommation,617.82,194.02,423.8
CLI_0096,Assurance Habitation,294.62,68.29,226.33
CLI_0097,Compte Courant,58.49,18.29,40.2
CLI_0097,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0097,Carte Bancaire Premium,120.0,20.0,100.0
CLI_0097,Compte Épargne,59.49,39.94,19.55
CLI_0098,Compte Courant,38.04,23.51,14.52
CLI_0098,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0098,Compte Épargne,66.55,34.63,31.93
CLI_0098,Crédit Immobilier,3335.57,594.27,2741.3
CLI_0098,Assurance Auto,421.13,61.5,359.63
CLI_0099,Compte Courant,48.12,16.45,31.66
CLI_0099,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0099,Compte Épargne,129.85,37.13,92.72
CLI_0099,Livret A,48.93,5.0,43.93
CLI_0099,Assurance Auto,513.29,68.71,444.58
CLI_0100,Compte Courant,44.76,18.94,25.82
CLI_0100,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0100,Assurance Auto,444.53,62.67,381.86
CLI_0101,Compte Courant,52.56,15.79,36.77
CLI_0101,Livret A,59.39,5.0,54.39
CLI_0101,Assurance Habitation,154.61,91.59,63.02
CLI_0102,Compte Courant,35.24,20.15,15.09
CLI_0102,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0102,Compte Épargne,76.15,34.45,41.7
CLI_0102,Livret A,39.28,5.0,34.28
CLI_0102,Assurance Vie,634.77,78.49,556.28
CLI_0102,Assurance Auto,500.99,61.84,439.15
CLI_0103,Compte Courant,38.5,19.99,18.51
CLI_0103,Carte Bancaire Standard,45.0,10.0,35.0
CLI_0103,Compte Épargne,54.51,23.72,30.79
CLI_0103,Livret A,76.07,5.0,71.07
CLI_0103,Assurance Vie,786.1,123.97,662.13
CLI_0103,Assurance Habitation,213.05,63.03,150.02
