transaction_id,client_id,date_transaction,type_transaction,montant,frais_generes
TRX_000131,CLI_0029,2026-01-16,Paiement carte,409.49,0.82
TRX_000132,CLI_0029,2025-09-14,Prélèvement,899.68,0.0
TRX_000133,CLI_0030,2024-08-04,Dépôt,1153.2,0.0
TRX_000134,CLI_0030,2024-06-26,Paiement carte,262.09,0.52
TRX_000135,CLI_0030,2021-04-05,Chèque,176.55,0.3
TRX_000136,CLI_0030,2024-03-31,Retrait DAB,173.68,1.5
TRX_000137,CLI_0030,2025-04-03,Prélèvement,410.98,0.0
TRX_000138,CLI_0031,2025-08-03,Virement,2004.76,1.0
TRX_000139,CLI_0031,2022-01-19,Retrait DAB,87.28,1.5
TRX_000140,CLI_0031,2022-06-15,Paiement carte,56.53,0.11
TRX_000141,CLI_0031,2025-07-31,Chèque,383.43,0.3
TRX_000142,CLI_0031,2025-02-22,Prélèvement,141.81,0.0
TRX_000143,CLI_0031,2025-09-26,Paiement carte,96.68,0.19
TRX_000144,CLI_0032,2023-11-23,Retrait DAB,144.35,1.5
TRX_000145,CLI_0032,2021-07-15,Virement,2706.17,1.0
TRX_000146,CLI_0032,2020-05-26,Retrait DAB,264.61,1.5
TRX_000147,CLI_0032,2025-04-30,Retrait DAB,298.76,1.5
TRX_000148,CLI_0032,2023-05-14,Virement,2955.3,1.0
TRX_000149,CLI_0032,2021-10-29,Virement,4081.12,1.0
TRX_000150,CLI_0032,2022-06-11,Paiement carte,170.2,0.34
TRX_000151,CLI_0033,2023-07-18,Dépôt,835.27,0.0
TRX_000152,CLI_0033,2024-02-20,Dépôt,1361.39,0.0
TRX_000153,CLI_0034,2026-02-02,Virement,3503.8,1.0
TRX_000154,CLI_0034,2025-12-15,Virement,1886.89,1.0
TRX_000155,CLI_0034,2026-01-26,Dépôt,1490.09,0.0
TRX_000156,CLI_0034,2025-12-23,Dépôt,1349.9,0.0
TRX_000157,CLI_0034,2026-02-26,Chèque,207.61,0.3
TRX_000158,CLI_0035,2024-03-25,Chèque,730.55,0.3
TRX_000159,CLI_0035,2024-07-27,Virement,3792.01,1.0
TRX_000160,CLI_0035,2024-01-18,Paiement carte,437.7,0.88
TRX_000161,CLI_0035,2024-08-02,Chèque,549.96,0.3
TRX_000162,CLI_0035,2022-11-20,Virement reçu,3678.22,0.0
TRX_000163,CLI_0036,2025-10-13,Prélèvement,320.31,0.0
TRX_000164,CLI_0036,2025-10-26,Dépôt,913.92,0.0
TRX_000165,CLI_0036,2024-09-09,Virement reçu,3123.82,0.0
TRX_000166,CLI_0036,2025-04-13,Prélèvement,857.46,0.0
TRX_000167,CLI_0036,2024-08-09,Retrait DAB,74.95,1.5
TRX_000168,CLI_0036,2025-01-22,Retrait DAB,55.15,1.5
TRX_000169,CLI_0036,2025-08-06,Prélèvement,965.31,0.0
TRX_000170,CLI_0036,2024-05-23,Prélèvement,152.64,0.0
TRX_000171,CLI_0036,2025-06-08,Retrait DAB,153.98,1.5
TRX_000172,CLI_0036,2025-05-25,Retrait DAB,183.96,1.5
TRX_000173,CLI_0037,2026-01-23,Chèque,794.36,0.3
TRX_000174,CLI_0037,2024-12-02,Retrait DAB,202.53,1.5
TRX_000175,CLI_0037,2025-05-30,Prélèvement,840.8,0.0
TRX_000176,CLI_0037,2026-02-04,Dépôt,1952.17,0.0
TRX_000177,CLI_0038,2025-12-13,Prélèvement,272.05,0.0
TRX_000178,CLI_0038,2025-09-23,Virement,3225.09,1.0
TRX_000179,CLI_0038,2025-04-11,Retrait DAB,249.62,1.5
TRX_000180,CLI_0038,2025-02-04,Paiement carte,30.37,0.06
TRX_000181,CLI_0038,2025-07-21,Chèque,548.32,0.3
TRX_000182,CLI_0038,2025-12-15,Paiement carte,347.76,0.7
TRX_000183,CLI_0038,2025-07-19,Paiement carte,133.63,0.27
TRX_000184,CLI_0038,2025-07-22,Paiement carte,160.81,0.32
TRX_000185,CLI_0039,2026-02-09,Chèque,238.53,0.3
TRX_000186,CLI_0039,2025-08-24,Dépôt,1955.21,0.0
TRX_000187,CLI_0040,2022-07-11,Retrait DAB,57.99,1.5
TRX_000188,CLI_0040,2023-07-24,Dépôt,1792.59,0.0
TRX_000189,CLI_0040,2025-08-29,Prélèvement,120.91,0.0
TRX_000190,CLI_0041,2025-06-28,Retrait DAB,150.53,1.5
TRX_000191,CLI_0041,2024-08-23,Paiement carte,103.07,0.21
TRX_000192,CLI_0041,2025-01-15,Retrait DAB,216.49,1.5
TRX_000193,CLI_0041,2026-02-04,Virement reçu,2826.68,0.0
TRX_000194,CLI_0041,2025-07-10,Dépôt,749.31,0.0
TRX_000195,CLI_0041,2024-10-29,Retrait DAB,275.17,1.5
TRX_000196,CLI_0041,2025-03-15,Retrait DAB,25.86,1.5
TRX_000197,CLI_0041,2025-04-01,Retrait DAB,108.42,1.5
TRX_000198,CLI_0042,2023-10-24,Dépôt,1951.6,0.0
TRX_000199,CLI_0043,2024-03-12,Dépôt,1419.11,0.0
TRX_000200,CLI_0043,2025-03-01,Prélèvement,364.78,0.0
TRX_000201,CLI_0043,2025-07-19,Chèque,708.1,0.3
TRX_000202,CLI_0043,2025-03-06,Virement,2040.09,1.0
TRX_000203,CLI_0043,2025-09-03,Paiement carte,380.56,0.76
TRX_000204,CLI_0044,2024-12-02,Prélèvement,441.67,0.0
TRX_000205,CLI_0044,2023-05-29,Chèque,941.26,0.3
TRX_000206,CLI_0044,2022-08-01,Chèque,325.79,0.3
TRX_000207,CLI_0044,2024-10-31,Virement,690.19,0.5
TRX_000208,CLI_0044,2025-07-17,Chèque,626.09,0.3
TRX_000209,CLI_0044,2025-05-30,Chèque,972.39,0.3
TRX_000210,CLI_0044,2023-03-30,Virement reçu,1951.41,0.0
TRX_000211,CLI_0044,2023-10-01,Prélèvement,108.93,0.0
TRX_000212,CLI_0044,2024-07-02,Retrait DAB,115.01,1.5
TRX_000213,CLI_0044,2022-04-22,Retrait DAB,161.66,1.5
TRX_000214,CLI_0044,2024-08-22,Prélèvement,203.83,0.0
TRX_000215,CLI_0045,2024-08-06,Paiement carte,62.11,0.12
TRX_000216,CLI_0045,2025-01-05,Paiement carte,65.93,0.13
TRX_000217,CLI_0046,2022-02-27,Paiement carte,206.35,0.41
TRX_000218,CLI_0046,2025-02-04,Paiement carte,66.42,0.13
TRX_000219,CLI_0046,2025-01-03,Paiement carte,442.8,0.89
TRX_000220,CLI_0046,2024-09-27,Dépôt,858.91,0.0
TRX_000221,CLI_0046,2025-08-15,Paiement carte,199.76,0.4
TRX_000222,CLI_0047,2024-10-23,Virement,2265.96,1.0
TRX_000223,CLI_0047,2023-10-12,Virement reçu,3276.34,0.0
TRX_000224,CLI_0047,2024-10-09,Dépôt,169.82,0.0
TRX_000225,CLI_0047,2025-05-04,Virement,4087.24,1.0
TRX_000226,CLI_0047,2022-05-17,Chèque,946.45,0.3
TRX_000227,CLI_0048,2023-05-04,Virement reçu,763.24,0.0
TRX_000228,CLI_0048,2024-07-15,Prélèvement,237.76,0.0
TRX_000229,CLI_0048,2021-01-19,Dépôt,402.01,0.0
TRX_000230,CLI_0048,2025-01-13,Chèque,336.22,0.3
TRX_000231,CLI_0048,2024-04-10,Chèque,572.73,0.3
TRX_000232,CLI_0048,2025-05-20,Virement,644.92,0.5
TRX_000233,CLI_0048,2020-09-03,Virement,4354.03,1.0
TRX_000234,CLI_0049,2022-05-13,Prélèvement,170.48,0.0
TRX_000235,CLI_0049,2023-10-11,Virement reçu,2019.54,0.0
TRX_000236,CLI_0050,2025-12-16,Dépôt,124.27,0.0
TRX_000237,CLI_0050,2024-04-15,Paiement carte,313.78,0.63
TRX_000238,CLI_0050,2025-02-23,Paiement carte,352.12,0.7
TRX_000239,CLI_0051,2025-08-13,Chèque,597.13,0.3
TRX_000240,CLI_0051,2025-12-01,Dépôt,1210.7,0.0
TRX_000241,CLI_0051,2025-12-07,Dépôt,1750.23,0.0
TRX_000242,CLI_0051,2025-03-06,Retrait DAB,181.55,1.5
TRX_000243,CLI_0052,2024-10-27,Paiement carte,403.48,0.81
TRX_000244,CLI_0052,2025-01-17,Retrait DAB,171.28,1.5
TRX_000245,CLI_0052,2025-12-01,Virement,488.47,0.5
TRX_000246,CLI_0052,2025-01-28,Chèque,609.27,0.3
TRX_000247,CLI_0052,2025-02-24,Retrait DAB,274.25,1.5
TRX_000248,CLI_0052,2025-08-17,Retrait DAB,130.97,1.5
TRX_000249,CLI_0052,2026-01-11,Chèque,366.69,0.3
TRX_000250,CLI_0052,2025-05-01,Dépôt,329.77,0.0
TRX_000251,CLI_0052,2026-02-08,Retrait DAB,62.4,1.5
TRX_000252,CLI_0053,2026-02-10,Virement,1920.58,1.0
TRX_000253,CLI_0053,2026-01-22,Virement reçu,3110.56,0.0
TRX_000254,CLI_0053,2026-01-29,Retrait DAB,166.63,1.5
TRX_000255,CLI_0054,2025-01-18,Retrait DAB,151.58,1.5
TRX_000256,CLI_0054,2025-01-06,Chèque,552.24,0.3
TRX_000257,CLI_0055,2024-12-18,Virement,3977.91,1.0
TRX_000258,CLI_0055,2025-08-09,Virement reçu,4587.36,0.0
TRX_000259,CLI_0055,2024-12-12,Virement reçu,1862.99,0.0
TRX_000260,CLI_0056,2023-12-25,Virement reçu,1457.64,0.0
TRX_000261,CLI_0056,2024-06-05,Dépôt,1884.72,0.0
TRX_000262,CLI_0056,2024-01-15,Dépôt,292.47,0.0
TRX_000263,CLI_0056,2023-12-16,Retrait DAB,265.04,1.5
TRX_000264,CLI_0056,2025-06-14,Paiement carte,485.76,0.97
TRX_000265,CLI_0056,2024-05-11,Chèque,259.44,0.3
TRX_000266,CLI_0056,2025-05-01,Virement reçu,3638.12,0.0
TRX_000267,CLI_0056,2024-02-04,Prélèvement,88.27,0.0
TRX_000268,CLI_0056,2025-06-26,Paiement carte,208.66,0.42
TRX_000269,CLI_0056,2023-03-23,Virement reçu,2629.79,0.0
TRX_000270,CLI_0056,2024-03-02,Paiement carte,294.52,0.59
TRX_000271,CLI_0057,2025-09-25,Paiement carte,15.14,0.03
TRX_000272,CLI_0057,2024-08-05,Virement,4485.82,1.0
TRX_000273,CLI_0057,2023-08-14,Prélèvement,191.68,0.0
TRX_000274,CLI_0057,2023-12-23,Chèque,807.33,0.3
TRX_000275,CLI_0057,2022-10-07,Dépôt,1254.97,0.0
TRX_000276,CLI_0058,2025-10-25,Chèque,886.49,0.3
TRX_000277,CLI_0059,2024-04-14,Prélèvement,823.67,0.0
TRX_000278,CLI_0059,2023-04-30,Retrait DAB,98.49,1.5
TRX_000279,CLI_0059,2022-05-19,Paiement carte,74.77,0.15
TRX_000280,CLI_0059,2021-11-30,Retrait DAB,143.16,1.5
TRX_000281,CLI_0060,2025-09-30,Chèque,121.7,0.3
TRX_000282,CLI_0060,2025-03-29,Dépôt,277.09,0.0
TRX_000283,CLI_0060,2025-08-29,Retrait DAB,55.59,1.5
TRX_000284,CLI_0060,2025-07-17,Paiement carte,102.75,0.21
TRX_000285,CLI_0060,2025-07-31,Paiement carte,235.07,0.47
TRX_000286,CLI_0061,2025-08-22,Virement,4537.14,1.0
TRX_000287,CLI_0061,2025-04-22,Retrait DAB,253.9,1.5
TRX_000288,CLI_0061,2026-01-01,Paiement carte,106.48,0.21
TRX_000289,CLI_0061,2025-09-07,Prélèvement,469.09,0.0
TRX_000290,CLI_0061,2025-12-16,Virement reçu,1077.12,0.0
TRX_000291,CLI_0062,2025-03-14,Chèque,417.79,0.3
TRX_000292,CLI_0062,2022-11-29,Dépôt,1609.58,0.0
TRX_000293,CLI_0062,2024-07-20,Virement,2817.97,1.0
TRX_000294,CLI_0062,2025-01-04,Prélèvement,834.64,0.0
TRX_000295,CLI_0063,2024-12-06,Virement,3943.59,1.0
TRX_000296,CLI_0063,2024-07-06,Retrait DAB,187.6,1.5
TRX_000297,CLI_0064,2025-08-14,Prélèvement,285.03,0.0
TRX_000298,CLI_0064,2025-12-24,Virement reçu,4344.83,0.0
TRX_000299,CLI_0064,2025-08-27,Dépôt,371.03,0.0
TRX_000300,CLI_0064,2025-12-31,Paiement carte,213.41,0.43
TRX_000301,CLI_0064,2025-08-25,Dépôt,77.95,0.0
TRX_000302,CLI_0064,2025-12-29,Paiement carte,244.38,0.49
TRX_000303,CLI_0064,2025-09-19,Paiement carte,20.3,0.04
TRX_000304,CLI_0064,2025-09-12,Dépôt,1648.24,0.0
TRX_000305,CLI_0065,2025-12-19,Paiement carte,306.14,0.61
TRX_000306,CLI_0065,2026-01-03,Prélèvement,775.51,0.0
TRX_000307,CLI_0065,2025-12-21,Retrait DAB,166.55,1.5
TRX_000308,CLI_0065,2026-01-24,Dépôt,492.21,0.0
TRX_000309,CLI_0065,2025-12-04,Chèque,699.87,0.3
TRX_000310,CLI_0065,2026-01-12,Virement,492.52,0.5
TRX_000311,CLI_0066,2024-10-25,Prélèvement,225.24,0.0
TRX_000312,CLI_0066,2024-01-02,Chèque,282.06,0.3
TRX_000313,CLI_0066,2024-07-14,Dépôt,804.08,0.0
TRX_000314,CLI_0066,2024-11-15,Virement reçu,350.64,0.0
TRX_000315,CLI_0067,2026-01-22,Paiement carte,476.68,0.95
TRX_000316,CLI_0067,2026-01-09,Paiement carte,442.95,0.89
TRX_000317,CLI_0067,2025-06-27,Paiement carte,142.6,0.29
TRX_000318,CLI_0067,2022-05-21,Virement,1051.4,1.0
TRX_000319,CLI_0067,2020-11-08,Chèque,526.99,0.3
TRX_000320,CLI_0068,2023-09-16,Retrait DAB,37.37,1.5
TRX_000321,CLI_0068,2022-08-27,Retrait DAB,39.92,1.5
TRX_000322,CLI_0068,2023-09-25,Dépôt,1169.04,0.0
TRX_000323,CLI_0068,2024-02-03,Prélèvement,587.72,0.0
TRX_000324,CLI_0069,2025-09-17,Dépôt,1137.85,0.0
TRX_000325,CLI_0070,2024-10-10,Chèque,143.83,0.3
TRX_000326,CLI_0070,2024-11-27,Paiement carte,58.02,0.12
TRX_000327,CLI_0070,2023-09-11,Dépôt,135.93,0.0
TRX_000328,CLI_0070,2021-03-31,Dépôt,411.29,0.0
TRX_000329,CLI_0070,2021-04-02,Retrait DAB,171.56,1.5
TRX_000330,CLI_0070,2024-12-16,Dépôt,1308.87,0.0
TRX_000331,CLI_0071,2024-03-13,Dépôt,694.26,0.0
TRX_000332,CLI_0071,2020-07-20,Chèque,630.29,0.3
TRX_000333,CLI_0072,2024-10-06,Dépôt,200.52,0.0
TRX_000334,CLI_0073,2023-12-28,Paiement carte,72.2,0.14
TRX_000335,CLI_0073,2023-08-31,Virement reçu,704.09,0.0
TRX_000336,CLI_0073,2025-09-14,Virement reçu,2640.95,0.0
TRX_000337,CLI_0073,2025-06-26,Prélèvement,283.56,0.0
TRX_000338,CLI_0073,2024-03-18,Chèque,422.33,0.3
TRX_000339,CLI_0073,2023-06-21,Paiement carte,494.86,0.99
TRX_000340,CLI_0073,2024-02-12,Retrait DAB,211.61,1.5
TRX_000341,CLI_0073,2025-10-17,Chèque,954.08,0.3
TRX_000342,CLI_0073,2023-08-16,Paiement carte,79.85,0.16
TRX_000343,CLI_0073,2025-10-21,Virement,1972.48,1.0
TRX_000344,CLI_0074,2023-09-12,Prélèvement,688.77,0.0
TRX_000345,CLI_0074,2025-08-31,Virement reçu,932.38,0.0
TRX_000346,CLI_0074,2024-05-02,Chèque,149.87,0.3
TRX_000347,CLI_0075,2025-07-10,Dépôt,1543.64,0.0
TRX_000348,CLI_0075,2025-01-31,Paiement carte,212.7,0.43
TRX_000349,CLI_0075,2022-06-20,Dépôt,1323.3,0.0
TRX_000350,CLI_0076,2023-08-24,Chèque,120.0,0.3
TRX_000351,CLI_0076,2024-01-09,Chèque,989.69,0.3
TRX_000352,CLI_0077,2024-05-27,Chèque,971.02,0.3
TRX_000353,CLI_0077,2023-07-30,Dépôt,1122.24,0.0
TRX_000354,CLI_0077,2025-03-18,Dépôt,1928.16,0.0
TRX_000355,CLI_0077,2024-10-26,Dépôt,273.77,0.0
TRX_000356,CLI_0078,2025-03-09,Prélèvement,142.12,0.0
TRX_000357,CLI_0078,2024-08-01,Virement reçu,977.26,0.0
TRX_000358,CLI_0078,2024-06-30,Retrait DAB,243.3,1.5
TRX_000359,CLI_0078,2025-04-13,Retrait DAB,209.71,1.5
TRX_000360,CLI_0078,2026-01-30,Dépôt,1116.51,0.0
TRX_000361,CLI_0078,2025-07-31,Chèque,527.58,0.3
TRX_000362,CLI_0079,2021-11-17,Prélèvement,119.1,0.0
TRX_000363,CLI_0079,2025-07-20,Chèque,352.54,0.3
TRX_000364,CLI_0079,2023-08-26,Virement,1814.7,1.0
TRX_000365,CLI_0079,2022-11-24,Chèque,804.18,0.3
TRX_000366,CLI_0080,2021-07-04,Virement reçu,1692.12,0.0
TRX_000367,CLI_0080,2021-07-28,Prélèvement,702.93,0.0
TRX_000368,CLI_0080,2021-09-22,Virement reçu,4811.92,0.0
TRX_000369,CLI_0080,2023-09-12,Chèque,757.22,0.3
TRX_000370,CLI_0081,2025-10-01,Chèque,667.65,0.3
TRX_000371,CLI_0082,2026-01-03,Virement reçu,3100.15,0.0
TRX_000372,CLI_0082,2025-05-18,Paiement carte,18.17,0.04
TRX_000373,CLI_0082,2025-01-09,Dépôt,429.81,0.0
TRX_000374,CLI_0082,2025-09-17,Retrait DAB,246.93,1.5
TRX_000375,CLI_0082,2025-09-15,Paiement carte,143.6,0.29
TRX_000376,CLI_0082,2025-05-09,Paiement carte,368.47,0.74
TRX_000377,CLI_0082,2024-12-06,Virement reçu,1923.39,0.0
TRX_000378,CLI_0082,2025-12-09,Chèque,569.7,0.3
TRX_000379,CLI_0083,2022-06-28,Paiement carte,434.55,0.87
TRX_000380,CLI_0083,2024-11-09,Virement reçu,392.12,0.0
TRX_000381,CLI_0083,2023-07-12,Virement reçu,3491.05,0.0
TRX_000382,CLI_0083,2024-01-14,Paiement carte,78.59,0.16
TRX_000383,CLI_0084,2024-03-08,Retrait DAB,148.7,1.5
TRX_000384,CLI_0084,2024-09-16,Virement,3411.23,1.0
TRX_000385,CLI_0084,2025-10-15,Chèque,656.75,0.3
TRX_000386,CLI_0084,2025-07-22,Virement,2885.91,1.0
TRX_000387,CLI_0085,2025-07-19,Virement reçu,762.56,0.0
TRX_000388,CLI_0085,2026-02-15,Virement reçu,3409.73,0.0
TRX_000389,CLI_0085,2025-04-07,Chèque,456.4,0.3
TRX_000390,CLI_0085,2024-06-09,Chèque,219.71,0.3
TRX_000391,CLI_0085,2025-10-05,Paiement carte,87.78,0.18
TRX_000392,CLI_0085,2024-11-15,Paiement carte,475.14,0.95
