client_id,cout_acquisition,anciennete_mois,revenus_transactions,revenus_annuels,cout_gestion_annuel,revenus_totaux,couts_totaux,profit_net,segment_calcule
CLI_0020,159.65,71,1.3,1200.58,316.72,1201.8799999999999,318.93736111111116,882.9426388888887,VIP
CLI_0021,195.61,50,1.8,3745.86,645.53,3747.6600000000003,649.3654901960784,3098.2945098039218,VIP
CLI_0022,147.22,37,2.0,947.89,270.73,949.89,274.6042105263158,675.2857894736842,VIP
CLI_0023,287.36,32,2.5700000000000003,760.6700000000001,173.03,763.2400000000001,181.7378787878788,581.5021212121213,VIP
CLI_0024,110.45,28,0.04,1026.15,189.65,1026.19,193.4586206896552,832.7313793103449,VIP
CLI_0025,183.76,27,0.3,152.39,31.66,152.69,38.222857142857144,114.46714285714285,Standard
CLI_0026,111.22,74,2.41,795.51,209.45,797.92,210.93293333333332,586.9870666666666,VIP
CLI_0027,167.7,50,0.6,1551.49,347.97,1552.09,351.2582352941177,1200.8317647058823,VIP
CLI_0028,197.76,55,2.0,1180.1100000000001,314.74,1182.1100000000001,318.2714285714286,863.8385714285715,VIP
CLI_0029,151.31,20,2.4899999999999998,1083.19,273.11,1085.68,280.3152380952381,805.364761904762,VIP
CLI_0030,158.5,65,2.3200000000000003,1015.8700000000001,139.69,1018.1900000000002,142.09151515151515,876.098484848485,VIP
CLI_0031,103.77,55,3.1,119.64,32.71,122.74,34.56303571428572,88.17696428571428,Standard
CLI_0032,147.84,70,7.84,1814.4299999999998,380.74,1822.2699999999998,382.82225352112675,1439.447746478873,VIP
CLI_0033,135.67,62,0.0,415.25,138.2,415.25,140.35349206349204,274.896507936508,Standard
CLI_0034,393.0,2,2.3,735.53,174.45999999999998,737.8299999999999,305.46,432.36999999999995,Standard
CLI_0035,153.02,45,2.48,2320.41,636.12,2322.89,639.4465217391304,1683.4434782608696,VIP
CLI_0036,169.9,23,6.0,475.61,139.15,481.61,146.22916666666669,335.3808333333333,Standard
CLI_0037,122.82,17,1.8,408.86,115.14,410.66,121.96333333333334,288.6966666666667,Standard
CLI_0038,130.25,13,4.15,1079.5300000000002,265.44,1083.6800000000003,274.74357142857144,808.9364285714289,VIP
CLI_0039,145.06,28,0.3,4182.3099999999995,466.90000000000003,4182.61,471.9020689655173,3710.7079310344825,VIP
CLI_0040,110.12,53,1.5,1445.24,440.46,1446.74,442.49925925925925,1004.2407407407408,VIP
CLI_0041,270.12,24,7.71,2805.0299999999997,744.75,2812.74,755.5548,2057.1852,VIP
CLI_0042,212.24,32,0.0,209.88,63.38999999999999,209.88,69.82151515151514,140.05848484848485,Standard
CLI_0043,204.68,30,2.06,583.1600000000001,120.22999999999999,585.22,126.83258064516129,458.38741935483876,Standard
CLI_0044,93.77,63,4.7,1215.9499999999998,279.90999999999997,1220.6499999999999,281.37515625,939.27484375,VIP
CLI_0045,183.22,67,0.25,285.11,59.66,285.36,62.35441176470588,223.00558823529414,Standard
CLI_0046,166.74,53,1.83,938.06,207.01,939.89,210.09777777777776,729.7922222222222,VIP
CLI_0047,88.12,53,2.3,608.8499999999999,128.62,611.1499999999999,130.25185185185185,480.89814814814804,Standard
CLI_0048,164.94,68,2.1,2669.86,564.99,2671.96,567.3804347826087,2104.579565217391,VIP
CLI_0049,145.22,63,0.0,1783.72,328.92999999999995,1783.72,331.19906249999997,1452.5209375,VIP
CLI_0050,89.81,37,1.33,3165.6499999999996,567.96,3166.9799999999996,570.3234210526316,2596.656578947368,VIP
CLI_0051,191.66,14,1.8,652.47,146.4,654.27,159.17733333333334,495.0926666666667,Standard
CLI_0052,196.94,17,7.91,219.53,50.68,227.44,61.62111111111111,165.8188888888889,Standard
CLI_0053,191.44,8,2.5,1500.95,258.28999999999996,1503.45,279.5611111111111,1223.888888888889,VIP
CLI_0054,289.14,14,1.8,578.1600000000001,126.01,579.96,145.286,434.67400000000004,Standard
CLI_0055,270.0,18,1.0,430.09000000000003,112.36999999999999,431.09000000000003,126.58052631578947,304.50947368421055,Standard
CLI_0056,160.28,37,3.78,1197.79,299.15999999999997,1201.57,303.37789473684205,898.1921052631578,VIP
CLI_0057,135.48,45,1.33,288.71000000000004,56.6,290.04,59.54521739130435,230.4947826086957,Standard
CLI_0058,252.94,5,0.3,909.71,178.13,910.01,220.28666666666666,689.7233333333334,VIP
CLI_0059,158.12,59,3.15,5432.360000000001,537.38,5435.51,540.0153333333333,4895.494666666667,VIP
CLI_0060,209.09,27,2.48,594.05,148.29,596.53,155.7575,440.7725,Standard
CLI_0061,112.45,16,2.71,503.35,137.92,506.06,144.53470588235294,361.52529411764704,Standard
CLI_0062,141.5,59,1.3,438.78999999999996,103.16,440.09,105.51833333333333,334.57166666666666,Standard
CLI_0063,176.77,36,2.5,777.43,206.2,779.93,210.97756756756755,568.9524324324324,VIP
CLI_0064,264.81,8,0.96,836.79,239.70999999999998,837.75,269.1333333333333,568.6166666666667,VIP
CLI_0065,162.99,3,2.91,1874.9099999999999,359.11,1877.82,399.8575,1477.9624999999999,VIP
CLI_0066,257.26,32,0.3,758.73,211.48,759.03,219.27575757575755,539.7542424242424,VIP
CLI_0067,104.16,68,3.4299999999999997,763.49,249.01999999999998,766.92,250.52956521739128,516.3904347826087,VIP
CLI_0068,111.03,44,3.0,1150.67,274.2,1153.67,276.6673333333333,877.0026666666668,VIP
CLI_0069,132.94,21,0.0,656.66,124.56,656.66,130.60272727272726,526.0572727272727,VIP
CLI_0070,119.63,67,1.92,475.38,155.5,477.3,157.25926470588234,320.04073529411767,Standard
CLI_0071,170.81,73,0.3,2414.69,622.88,2414.9900000000002,625.1882432432433,1789.801756756757,VIP
CLI_0072,142.33,47,0.0,1859.08,313.59,1859.08,316.5552083333333,1542.5247916666667,VIP
CLI_0073,140.98,33,4.39,3283.3999999999996,677.0,3287.7899999999995,681.1464705882353,2606.643529411764,VIP
CLI_0074,185.34,46,0.3,3002.1,580.68,3002.4,584.6234042553191,2417.776595744681,VIP
CLI_0075,185.55,56,0.43,356.65,147.93,357.08,151.18526315789475,205.89473684210523,Standard
CLI_0076,184.47,40,0.6,741.69,211.95999999999998,742.2900000000001,216.4592682926829,525.8307317073172,VIP
CLI_0077,147.76,35,0.3,5247.360000000001,573.77,5247.660000000001,577.8744444444444,4669.785555555556,VIP
CLI_0078,190.25,30,3.3,549.9100000000001,112.03999999999999,553.21,118.17709677419354,435.0329032258065,Standard
CLI_0079,198.2,58,1.6,1230.63,236.92,1232.23,240.2793220338983,991.9506779661017,VIP
CLI_0080,172.64,73,0.3,582.53,235.66,582.8299999999999,237.99297297297298,344.8370270270269,Standard
CLI_0081,156.79,7,0.3,1580.8400000000001,268.96000000000004,1581.14,288.55875000000003,1292.5812500000002,VIP
CLI_0082,113.04,16,2.87,3288.01,742.53,3290.88,749.1794117647058,2541.700588235294,VIP
CLI_0083,135.67,51,1.03,863.6400000000001,269.73,864.6700000000001,272.3390384615385,592.3309615384616,VIP
CLI_0084,189.11,57,3.8,228.89,67.24000000000001,232.69,70.50051724137931,162.18948275862067,Standard
CLI_0085,207.74,23,2.61,891.3,244.09,893.91,252.74583333333334,641.1641666666667,VIP
CLI_0086,274.45,2,5.6,2041.1,301.35,2046.6999999999998,392.83333333333337,1653.8666666666663,VIP
CLI_0087,92.66,43,1.6600000000000001,544.83,157.21,546.49,159.3159090909091,387.1740909090909,Standard
CLI_0088,314.2,6,1.5,3943.03,684.34,3944.53,729.2257142857143,3215.304285714286,VIP
CLI_0089,264.42,26,2.8,294.12,74.94,296.92,84.73333333333333,212.18666666666667,Standard
CLI_0090,125.65,65,1.0,1595.87,283.23,1596.87,285.13378787878787,1311.736212121212,VIP
CLI_0091,255.12,20,3.5300000000000002,79.41,25.98,82.94,38.12857142857143,44.811428571428564,Standard
CLI_0092,195.74,69,1.68,271.31,53.51,272.99,56.306285714285714,216.6837142857143,Standard
CLI_0093,140.75,15,0.8,675.6700000000001,244.81,676.47,253.606875,422.863125,Standard
CLI_0094,142.8,72,1.8,705.78,212.54,707.5799999999999,214.49616438356165,493.08383561643825,Standard
CLI_0095,157.43,12,1.0,1430.68,213.61,1431.68,225.72000000000003,1205.96,VIP
CLI_0096,175.14,64,1.33,5772.52,681.44,5773.85,684.1344615384616,5089.715538461539,VIP
CLI_0097,215.52,32,2.3,282.98,88.22999999999999,285.28000000000003,94.76090909090908,190.51909090909095,Standard
CLI_0098,226.92,16,0.0,3906.2900000000004,723.91,3906.2900000000004,737.2582352941176,3169.031764705883,VIP
CLI_0099,259.58,19,3.0,785.1899999999999,137.29,788.1899999999999,150.269,637.9209999999999,VIP
CLI_0100,179.19,18,0.0,534.29,91.61,534.29,101.04105263157895,433.248947368421,Standard
CLI_0101,283.02,35,0.0,266.56,112.38,266.56,120.24166666666666,146.31833333333333,Standard
CLI_0102,143.96,59,1.8,1331.43,209.93,1333.23,212.32933333333335,1120.9006666666667,VIP
CLI_0103,131.59,19,1.5,1213.23,245.70999999999998,1214.73,252.28949999999998,962.4405,VIP
CLI_0104,163.51,72,1.3399999999999999,439.18,75.68,440.52,77.91986301369863,362.6001369863013,Standard
CLI_0105,258.65,30,2.8,3987.8200000000006,760.19,3990.620000000001,768.5335483870969,3222.086451612904,VIP
CLI_0106,118.01,51,2.23,4253.94,521.4300000000001,4256.169999999999,523.6994230769232,3732.470576923076,VIP
CLI_0107,271.44,12,4.09,379.19,105.28999999999999,383.28,126.16999999999999,257.11,Standard
CLI_0108,281.23,25,1.5,203.48000000000002,55.99,204.98000000000002,66.80653846153847,138.17346153846154,Standard
CLI_0109,113.23,63,1.5,1502.12,312.65999999999997,1503.62,314.42921874999996,1189.1907812499999,VIP
CLI_0110,296.7,15,3.35,489.23,141.36,492.58000000000004,159.90375,332.67625000000004,Standard
CLI_0111,96.89,60,3.5,2558.73,650.25,2562.23,651.8383606557377,1910.3916393442623,VIP
CLI_0112,104.24,41,1.5,601.79,155.84,603.29,158.32190476190476,444.9680952380952,Standard
CLI_0113,136.84,15,7.9,2237.72,681.2,2245.62,689.7525,1555.8674999999998,VIP
CLI_0114,278.8,20,1.18,3411.64,693.77,3412.8199999999997,707.0461904761904,2705.773809523809,VIP
CLI_0115,313.57,3,1.9300000000000002,989.01,219.81,990.9399999999999,298.2025,692.7375,VIP
CLI_0116,98.25,64,2.5,580.78,119.87,583.28,121.38153846153847,461.8984615384615,Standard
CLI_0117,188.06,20,6.9,1073.7299999999998,225.07,1080.6299999999999,234.02523809523808,846.6047619047617,VIP
CLI_0118,223.06,32,2.12,731.4,187.88,733.52,194.63939393939393,538.880606060606,VIP
CLI_0119,116.69,28,0.3,591.16,149.68,591.4599999999999,153.70379310344828,437.75620689655165,Standard
CLI_0120,185.89,44,0.3,3878.7799999999997,853.5500000000001,3879.08,857.680888888889,3021.399111111111,VIP
CLI_0121,260.72,29,2.6100000000000003,457.89,97.65,460.5,106.34066666666668,354.15933333333334,Standard
CLI_0122,140.62,52,1.0,892.73,203.62,893.73,206.27320754716982,687.4567924528302,VIP
CLI_0123,196.06,64,0.3,1131.96,237.73,1132.26,240.74630769230768,891.5136923076923,VIP
CLI_0124,254.44,5,3.36,1002.2900000000001,224.53,1005.6500000000001,266.93666666666667,738.7133333333334,VIP
CLI_0125,198.09,59,4.7,1224.3,287.96000000000004,1229.0,291.2615,937.7384999999999,VIP
CLI_0126,316.98,2,4.0,5957.88,760.92,5961.88,866.5799999999999,5095.3,VIP
CLI_0127,308.67,5,1.0,437.27,124.97,438.27,176.415,261.855,Standard
CLI_0128,99.91,48,3.39,969.9200000000001,229.8,973.3100000000001,231.83897959183673,741.4710204081633,VIP
CLI_0129,276.39,27,8.6,722.1800000000001,183.7,730.7800000000001,193.57107142857143,537.2089285714287,VIP
CLI_0130,185.5,27,4.3,1532.81,365.01,1537.11,371.635,1165.475,VIP
CLI_0131,99.47,54,1.8,1404.71,295.94,1406.51,297.7485454545455,1108.7614545454544,VIP
CLI_0132,81.51,42,5.8,105.76,39.129999999999995,111.56,41.02558139534883,70.53441860465117,Standard
CLI_0133,147.17,60,3.6799999999999997,5764.780000000001,502.27,5768.460000000001,504.6826229508197,5263.777377049181,VIP
CLI_0134,143.29,55,0.03,810.1599999999999,233.62,810.1899999999998,236.17875,574.0112499999998,VIP
CLI_0135,166.32,40,5.26,457.95000000000005,139.39,463.21000000000004,143.44658536585365,319.7634146341464,Standard
CLI_0136,186.83,48,2.4899999999999998,1267.25,308.65000000000003,1269.74,312.46285714285716,957.2771428571428,VIP
CLI_0137,89.53,51,1.83,466.25,114.53999999999999,468.08,116.26173076923077,351.8182692307692,Standard
CLI_0138,167.78,54,4.4,923.73,158.37,928.13,161.42054545454545,766.7094545454545,VIP
CLI_0139,102.49,64,0.0,1386.04,222.87,1386.04,224.44676923076923,1161.5932307692308,VIP
CLI_0140,182.98,50,4.3,280.81,51.94,285.11,55.5278431372549,229.5821568627451,Standard
CLI_0141,354.77,7,4.0600000000000005,630.74,131.75,634.8,176.09625,458.70374999999996,Standard
CLI_0142,285.2,11,1.18,705.27,250.67000000000002,706.4499999999999,274.43666666666667,432.01333333333326,Standard
CLI_0143,242.05,13,2.8,5664.26,615.55,5667.06,632.8392857142857,5034.220714285715,VIP
CLI_0144,162.87,30,1.8,4418.54,638.73,4420.34,643.983870967742,3776.356129032258,VIP
CLI_0145,194.23,31,2.0,4520.370000000001,405.57000000000005,4522.370000000001,411.63968750000004,4110.730312500001,VIP
CLI_0146,178.6,54,5.26,5449.82,760.8199999999999,5455.08,764.0672727272727,4691.012727272728,VIP
CLI_0147,191.85,14,1.5,2812.2200000000003,539.3299999999999,2813.7200000000003,552.1199999999999,2261.6000000000004,VIP
CLI_0148,122.94,65,2.48,810.67,262.48,813.15,264.3427272727273,548.8072727272727,VIP
CLI_0149,273.55,11,3.3,251.79,66.83,255.09,89.62583333333333,165.46416666666667,Standard
CLI_0150,265.65,14,2.5,621.75,113.4,624.25,131.11,493.14,Standard
CLI_0151,167.04,33,6.8,1790.86,283.38,1797.6599999999999,288.2929411764706,1509.3670588235293,VIP
CLI_0152,100.85,37,0.0,234.31,62.08,234.31,64.73394736842106,169.57605263157893,Standard
CLI_0153,165.44,67,3.6,3363.57,985.76,3367.17,988.1929411764705,2378.9770588235297,VIP
CLI_0154,265.2,26,0.3,984.07,271.86,984.37,281.6822222222222,702.6877777777778,VIP
CLI_0155,175.16,5,6.5,849.43,257.05,855.93,286.24333333333334,569.6866666666666,VIP
CLI_0156,108.78,64,1.34,593.9200000000001,142.05,595.2600000000001,143.72353846153848,451.5364615384616,Standard
CLI_0157,128.39,32,2.1,850.37,149.41,852.47,153.30060606060604,699.169393939394,VIP
CLI_0158,236.99,11,2.5,492.89,261.45,495.39,281.19916666666666,214.19083333333333,Standard
CLI_0159,190.07,13,6.79,2071.75,421.73,2078.54,435.30642857142857,1643.2335714285714,VIP
CLI_0160,169.86,69,5.83,1143.83,211.76,1149.6599999999999,214.18657142857143,935.4734285714285,VIP
CLI_0161,158.14,67,4.7299999999999995,4242.55,642.72,4247.28,645.0455882352942,3602.2344117647053,VIP
CLI_0162,224.19,24,1.97,634.31,187.37,636.28,196.3376,439.94239999999996,Standard
CLI_0163,170.47,35,1.9100000000000001,1486.96,315.48,1488.8700000000001,320.21527777777777,1168.6547222222223,VIP
CLI_0164,180.97,64,3.7,1033.88,221.75,1037.5800000000002,224.53415384615386,813.0458461538462,VIP
CLI_0165,136.55,62,0.8,2849.2799999999997,465.24,2850.08,467.40746031746033,2382.6725396825395,VIP
CLI_0166,394.78,5,2.3,381.4,114.93,383.7,180.7266666666667,202.9733333333333,Standard
CLI_0167,226.83,22,1.9,1256.6200000000001,239.01,1258.5200000000002,248.87217391304347,1009.6478260869567,VIP
CLI_0168,181.57,11,4.9,1071.38,321.62,1076.2800000000002,336.75083333333333,739.5291666666669,VIP
CLI_0169,161.14,69,0.0,1290.64,270.96,1290.64,273.262,1017.3780000000002,VIP
CLI_0170,165.02,13,0.57,877.44,178.43,878.0100000000001,190.21714285714287,687.7928571428572,VIP
CLI_0171,162.36,49,4.15,5778.99,701.55,5783.139999999999,704.7972,5078.342799999999,VIP
CLI_0172,113.93,31,1.5,2637.5099999999998,539.4,2639.0099999999998,542.9603125,2096.0496875,VIP
CLI_0173,193.72,10,3.6,750.5,176.65,754.1,194.26090909090908,559.8390909090909,VIP
CLI_0174,363.93,6,0.6,552.11,167.12,552.71,219.11,333.6,Standard
CLI_0175,107.26,54,1.84,543.4300000000001,132.52,545.2700000000001,134.47018181818183,410.7998181818183,Standard
CLI_0176,180.44,66,2.7,150.21,30.47,152.91,33.16313432835821,119.74686567164179,Standard
CLI_0177,155.86,13,0.0,720.54,133.76999999999998,720.54,144.90285714285713,575.6371428571429,VIP
CLI_0178,157.15,60,0.3,2603.1600000000003,476.91999999999996,2603.4600000000005,479.4962295081967,2123.9637704918036,VIP
CLI_0179,238.83,28,0.3,1182.18,249.31,1182.48,257.5455172413793,924.9344827586208,VIP
CLI_0180,141.52,63,4.26,3304.14,773.4300000000001,3308.4,775.64125,2532.75875,VIP
CLI_0181,226.33,6,2.1,1447.17,391.0,1449.27,423.33285714285716,1025.9371428571428,VIP
CLI_0182,105.52,51,3.0,275.40000000000003,63.69,278.40000000000003,65.71923076923076,212.68076923076927,Standard
CLI_0183,83.98,69,2.01,5238.35,627.5,5240.360000000001,628.6997142857143,4611.660285714286,VIP
CLI_0184,116.47,41,0.6,1525.42,242.01,1526.02,244.78309523809523,1281.2369047619047,VIP
CLI_0185,230.63,15,1.5,565.38,90.17,566.88,104.584375,462.295625,Standard
CLI_0186,287.66,15,2.81,1855.75,467.48,1858.56,485.45875,1373.10125,VIP
CLI_0187,367.8,3,5.16,674.1800000000001,211.9,679.34,303.85,375.49,Standard
CLI_0188,341.52,3,2.8,3267.2499999999995,873.84,3270.0499999999997,959.22,2310.83,VIP
CLI_0189,174.61,53,6.66,417.6,92.67999999999999,424.26000000000005,95.91351851851852,328.34648148148153,Standard
CLI_0190,233.0,25,1.8900000000000001,711.77,201.99,713.66,210.95153846153846,502.7084615384615,VIP
CLI_0191,152.06,24,2.21,784.95,191.01,787.1600000000001,197.0924,590.0676000000001,VIP
CLI_0192,188.86,36,2.1,1375.43,338.45000000000005,1377.53,343.5543243243244,1033.9756756756756,VIP
CLI_0193,234.15,22,1.3,562.04,155.51999999999998,563.3399999999999,165.70043478260868,397.63956521739124,Standard
CLI_0194,212.09,19,4.1,700.72,222.66,704.82,233.2645,471.55550000000005,Standard
CLI_0195,122.2,28,0.63,829.03,131.96,829.66,136.17379310344828,693.4862068965517,VIP
CLI_0196,133.65,67,1.6,633.5,225.61,635.1,227.5754411764706,407.52455882352945,Standard
CLI_0197,192.07,29,3.6799999999999997,901.4000000000001,325.15999999999997,905.08,331.5623333333333,573.5176666666667,VIP
CLI_0198,183.75,66,6.64,254.89,55.3,261.53,58.04253731343283,203.48746268656714,Standard
CLI_0199,209.33,30,1.92,38.98,24.6,40.9,31.352580645161293,9.547419354838706,Standard
CLI_0200,125.65,62,4.15,932.77,260.40999999999997,936.92,262.40444444444444,674.5155555555555,VIP
CLI_0201,295.36,22,0.0,1211.74,279.87,1211.74,292.7117391304348,919.0282608695652,VIP
CLI_0202,93.29,36,6.18,1083.9099999999999,201.47,1090.09,203.99135135135134,886.0986486486486,VIP
CLI_0203,130.71,40,5.5,348.82,142.67000000000002,354.32,145.85804878048782,208.46195121951217,Standard
CLI_0204,85.04,54,0.5,678.96,138.9,679.46,140.44618181818183,539.0138181818182,VIP
CLI_0205,247.98,29,2.69,1076.01,254.02999999999997,1078.7,262.296,816.404,VIP
CLI_0206,190.17,63,0.76,214.5,68.22,215.26,71.19140625,144.06859375,Standard
CLI_0207,113.6,55,1.5,1946.0500000000002,433.78999999999996,1947.5500000000002,435.8185714285714,1511.7314285714288,VIP
CLI_0208,271.67,27,3.6,989.8499999999999,213.12,993.4499999999999,222.8225,770.6274999999999,VIP
CLI_0209,158.44,32,1.46,277.64,55.1,279.09999999999997,59.901212121212126,219.19878787878784,Standard
CLI_0210,282.15,21,2.09,674.83,164.53,676.9200000000001,177.355,499.56500000000005,Standard
CLI_0211,170.48,57,2.5,1118.07,252.83,1120.57,255.7693103448276,864.8006896551724,VIP
CLI_0212,176.59,63,5.27,192.75,66.8,198.02,69.55921875,128.46078125000003,Standard
CLI_0213,103.6,32,1.04,142.94,61.61,143.98,64.74939393939394,79.23060606060605,Standard
CLI_0214,292.56,23,0.3,915.92,246.39,916.2199999999999,258.58,657.6399999999999,VIP
CLI_0215,245.33,30,3.09,410.93,116.06,414.02,123.97387096774193,290.046129032258,Standard
CLI_0216,116.57,57,0.3,4952.52,791.73,4952.820000000001,793.739827586207,4159.080172413794,VIP
CLI_0217,357.35,3,1.0,3263.23,526.4000000000001,3264.23,615.7375000000001,2648.4925,VIP
CLI_0218,113.78,62,0.0,92.82,26.88,92.82,28.686031746031745,64.13396825396825,Standard
CLI_0219,274.55,17,5.05,565.27,139.4,570.3199999999999,154.65277777777777,415.66722222222216,Standard
CLI_0220,178.15,5,2.3,681.3,120.59,683.5999999999999,150.28166666666667,533.3183333333333,VIP
CLI_0221,240.74,25,1.4,1402.6,263.40000000000003,1404.0,272.6592307692308,1131.3407692307692,VIP
CLI_0222,144.88,72,4.38,203.73000000000002,69.49,208.11,71.47465753424657,136.63534246575344,Standard
CLI_0223,119.31,25,0.0,695.28,150.09,695.28,154.67884615384617,540.6011538461538,VIP
CLI_0224,148.38,32,0.0,685.62,133.45,685.62,137.94636363636363,547.6736363636364,VIP
CLI_0225,81.49,50,0.46,5129.33,906.49,5129.79,908.0878431372549,4221.702156862745,VIP
CLI_0226,136.25,45,0.23,4868.76,530.52,4868.99,533.4819565217391,4335.50804347826,VIP
CLI_0227,160.25,28,0.0,1147.4099999999999,300.45,1147.4099999999999,305.9758620689655,841.4341379310343,VIP
CLI_0228,299.59,8,1.6,455.20000000000005,157.52,456.80000000000007,190.8077777777778,265.99222222222227,Standard
CLI_0229,115.67,48,1.0,232.32999999999998,56.32,233.32999999999998,58.68061224489796,174.64938775510203,Standard
CLI_0230,115.99,44,4.0,1116.09,180.87,1120.09,183.44755555555557,936.6424444444443,VIP
CLI_0231,169.18,56,0.38,744.93,209.41,745.31,212.37807017543858,532.9319298245614,VIP
CLI_0232,85.78,53,2.37,1215.98,218.81,1218.35,220.39851851851853,997.9514814814813,VIP
CLI_0233,188.35,64,2.76,563.6600000000001,159.69,566.4200000000001,162.5876923076923,403.8323076923078,Standard
CLI_0234,270.45,34,0.6,3460.26,686.89,3460.86,694.6171428571429,2766.2428571428572,VIP
CLI_0235,160.14,61,1.5,897.78,233.32999999999998,899.28,235.91290322580645,663.3670967741936,VIP
CLI_0236,298.31,5,0.8999999999999999,5748.349999999999,627.83,5749.249999999999,677.5483333333334,5071.701666666666,VIP
CLI_0237,373.08,3,1.8,119.2,25.57,121.0,118.84,2.1599999999999966,Standard
CLI_0238,102.24,69,3.8,782.1700000000001,205.48,785.97,206.94057142857142,579.0294285714286,VIP
CLI_0239,115.79,29,2.5,1849.0,350.6,1851.5,354.4596666666667,1497.0403333333334,VIP
CLI_0240,108.74,57,1.6,4425.43,630.16,4427.030000000001,632.0348275862069,3794.9951724137936,VIP
CLI_0241,258.92,23,1.8,2562.71,596.7299999999999,2564.51,607.5183333333332,1956.991666666667,VIP
CLI_0242,84.16,53,0.3,489.65999999999997,118.87,489.96,120.42851851851853,369.5314814814815,Standard
CLI_0243,149.94,52,0.79,297.19,134.57,297.98,137.39905660377357,160.58094339622644,Standard
CLI_0244,199.45,50,2.5,1607.0900000000001,302.95,1609.5900000000001,306.8607843137255,1302.7292156862745,VIP
CLI_0245,182.68,52,1.0,440.96,84.57,441.96,88.01679245283019,353.9432075471698,Standard
CLI_0246,204.29,15,1.59,755.84,181.22,757.4300000000001,193.988125,563.4418750000001,VIP
CLI_0247,87.64,69,3.0,2847.04,593.2800000000001,2850.04,594.532,2255.508,VIP
CLI_0248,266.27,18,1.9100000000000001,160.1,33.05,162.01,47.06421052631578,114.94578947368421,Standard
CLI_0249,219.8,25,0.0,219.96,71.76,219.96,80.21384615384616,139.74615384615385,Standard
CLI_0250,93.79,42,3.1,1544.67,314.05,1547.77,316.2311627906977,1231.5388372093023,VIP
CLI_0251,118.77,14,0.3,534.34,160.81,534.64,168.728,365.912,Standard
CLI_0252,189.16,36,1.5,5378.98,680.7,5380.48,685.8124324324325,4694.667567567567,VIP
CLI_0253,233.84,13,3.6,3011.9,612.66,3015.5,629.3628571428571,2386.137142857143,VIP
CLI_0254,179.51,43,3.37,259.7,62.65,263.07,66.72977272727273,196.34022727272725,Standard
CLI_0255,369.74,2,2.96,2214.42,350.22,2217.38,473.4666666666667,1743.9133333333334,VIP
CLI_0256,148.61,42,0.47,2417.1,635.9499999999999,2417.5699999999997,639.4060465116279,1778.1639534883718,VIP
CLI_0257,203.49,32,3.0,985.27,195.62,988.27,201.78636363636363,786.4836363636364,VIP
CLI_0258,257.61,10,0.5700000000000001,1310.59,290.61,1311.1599999999999,314.02909090909094,997.130909090909,VIP
CLI_0259,118.03,48,2.0,3849.23,624.77,3851.23,627.1787755102041,3224.051224489796,VIP
CLI_0260,186.92,24,5.39,609.75,129.99,615.14,137.4668,477.67319999999995,Standard
CLI_0261,254.78,14,1.13,543.4300000000001,123.25,544.5600000000001,140.23533333333333,404.32466666666676,Standard
CLI_0262,300.48,11,2.5,199.15,46.32,201.65,71.36,130.29000000000002,Standard
CLI_0263,187.1,36,0.5,926.52,227.8,927.02,232.85675675675677,694.1632432432432,VIP
CLI_0264,188.68,22,2.86,1587.74,247.53,1590.6,255.73347826086956,1334.8665217391303,VIP
